,제목,별점,사람,기타정보,상영시간
4020,스트레이,2.0,3,['1999 ・ 스릴러 ・ 미국'],
4023,시저와 클레오파트라,3.2,167,['1945 ・ 코미디 ・ 미국 ・ 영국'],
4024,The Adventures of a Good Citizen,3.3,2,['1937'],
4038,,0,0,[],
4041,,0,0,[],
4045,,0,0,[],
4049,수퍼노바,2.6,189,['2000 ・ 스릴러 ・ 미국 ・ 스위스'],1시간 30분
4061,베이스켓볼,2.8,79,['1998 ・ 스포츠 ・ 미국'],
4066,,0,0,[],
4067,벤데타,1.2,3,['1999 ・ 드라마 ・ 미국'],1시간 57분
4075,무솔리니와 차 한 잔,3.3,31,['1999 ・ 전쟁 ・ 이탈리아 ・ 영국'],1시간 56분
4079,,0,0,[],
4081,배드 캅,3.8,"1,245",['1992 ・ 드라마 ・ 미국'],1시간 36분
4084,더 헌트,2.2,5,['2012 ・ 액션 ・ 프랑스'],1시간 14분
4085,아트 오브 워,3.0,"6,475",['2000 ・ 액션 ・ 캐나다 ・ 미국'],
4086,블로우백,1.9,7,['1999 ・ 스릴러 ・ 미국'],
4090,총알탄 사나이 2 - 공포의 낌새,3.2,"8,389",['1991 ・ 코미디 ・ 미국'],
4092,폴리스 아카데미 4 - 시민 순찰대,3.1,481,['1987 ・ 코미디 ・ 미국'],1시간 25분
4098,러닝 타겟,0,0,['1996 ・ 액션 ・ 캐나다 ・ 미국'],1시간 46분
4101,리플리,3.8,4만,['1999 ・ 범죄 ・ 미국'],2시간 19분
4106,프리큐어 올스타즈 DX 3 - 미래에 닿아라! 세계를 잇는☆무지개빛 꽃,3.3,44,['2011 ・ 애니메이션 ・ 일본'],
4109,캘리포니아 썸머 캠프,2.2,38,['1983 ・ 캐나다 ・ 미국'],1시간 40분
4110,카우걸,0,0,['1996 ・ 미국'],20분
4111,중국 음식과 도넛,0,0,['1999 ・ 미국'],8분
4115,꼬마 돼지 베이브 2,3.2,1만,['1998 ・ 코미디 ・ 미국'],1시간 37분
4116,,0,0,[],
4122,챔피언의 아침,2.3,25,['1999 ・ 코미디 ・ 미국'],1시간 46분
4123,희생자,3.7,60,['1961 ・ 범죄 ・ 영국'],1시간 30분
4124,목마와 소년,3.4,5,['1950 ・ 영국'],
4136,모탈 컴뱃 2,2.2,452,['1997 ・ 판타지 ・ 미국'],1시간 35분
4137,언톨드 스토리 - 인육만두,2.7,710,['1992 ・ 공포 ・ 홍콩'],1시간 36분
4147,,0,0,[],
4148,,0,0,[],
4149,뮤지컬 버드나무에 부는 바람,3.2,9,['2018 ・ 공연실황 ・ 영국'],2시간 10분
4150,하루 또 하루,0,0,['2006 ・ 프랑스'],1시간 5분
4151,내겐 너무 가벼운 그녀,3.4,19만,['2001 ・ 로맨스 ・ 미국 ・ 독일'],
4152,달빛 속삭임,2.9,529,['1999 ・ 로맨스 ・ 일본'],1시간 40분
4153,아미그달라 3편 - 비트윈,4.2,3,['2002 ・ 한국'],35분
4154,글래디에이터,3.1,54,['1992 ・ 액션 ・ 미국'],1시간 43분
4164,스타 만들기,2.9,35,['1993 ・ 코미디 ・ 미국'],1시간 31분
4165,사랑 게임,2.9,222,['1993 ・ 로맨틱코미디 ・ 미국'],1시간 36분
4167,로트르,2.3,2,['2008 ・ 드라마 ・ 프랑스'],1시간 37분
4200,언제나 막차를 타고 오는 사람,0,0,['1992 ・ 드라마 ・ 한국'],1시간 45분
4206,세상 끝의 향기,2.8,2,['1992 ・ 드라마 ・ 한국'],1시간 33분
4209,백백교,2.0,42,['1992 ・ 드라마 ・ 한국'],1시간 46분
4212,,0,0,[],
4214,나 이제 너를 잊으리,3.3,2,['1992 ・ 한국'],1시간 37분
4228,늪 속의 불안개는 잠들지 않는다,0,0,['1992 ・ 한국'],1시간 32분
4235,복카치오 92,3.0,112,['1992 ・ 한국'],1시간 32분
4247,,0,0,[],
4250,,0,0,[],
4292,잘 가요 내 사랑,3.0,865,['1975 ・ 범죄 ・ 미국'],
4304,,0,0,[],
4309,트라이어드,3.1,117,['1995 ・ 드라마 ・ 중국 ・ 프랑스'],1시간 43분
4317,,0,0,[],
4324,짧은 여행의 끝,0,0,['1993 ・ 한국'],1시간 43분
4331,,0,0,[],
4336,아수라,3.0,20만,['2016 ・ 범죄 ・ 한국'],
4340,13월의 겨울,0,0,['1993 ・ 드라마 ・ 한국'],1시간 33분
4350,우뢰매 7 - 돌아온 우뢰매,2.7,"1,067",['1992 ・ 액션 ・ 한국'],1시간 26분
4355,마스카라,2.8,54,['1995 ・ 로맨스 ・ 한국'],1시간 32분
4361,명량,3.6,109만,['2014 ・ 시대극 ・ 한국'],
4396,,0,0,[],
4400,,0,0,[],
4402,,0,0,[],
4408,,0,0,[],
4415,,0,0,[],
4419,,0,0,[],
4424,,0,0,[],
4427,오세암,3.7,11만,['2002 ・ 애니메이션 ・ 한국'],1시간 15분
4436,여자 아리랑,1.2,6,['1994 ・ 한국'],1시간 43분
4445,직업,4.0,127,['1961 ・ 드라마 ・ 이탈리아'],1시간 33분
4449,오사카 대부,2.0,5,['1986 ・ 한국'],1시간 35분
4457,요화 어을우동,2.2,20,['1987 ・ 로맨스 ・ 한국'],1시간 30분
4466,,0,0,[],
4475,,0,0,[],
4491,,0,0,[],
4492,,0,0,[],
4493,소명 2 - 모겐족의 월드컵,3.1,55,['2010 ・ 스포츠 ・ 한국'],1시간 32분
4494,상한 갈대,1.5,2,['1984 ・ 한국'],1시간 46분
4495,중광의 허튼 소리,2.7,52,['1986 ・ 드라마 ・ 한국'],1시간 45분
4497,우뢰매 2,2.8,"2,632",['1986 ・ 액션 ・ 한국'],1시간 30분
4513,청 블루 스케치,2.6,57,['1986 ・ 한국'],1시간 22분
4521,비 오는 날 수채화 2 - 느티나무 언덕,2.2,219,['1993 ・ 로맨스 ・ 한국'],1시간 59분
4532,우뢰매 3,2.8,"3,331",['1987 ・ 가족 ・ 한국'],1시간 22분
4545,,0,0,[],
4552,선유락,3.0,1,['1994 ・ 액션 ・ 한국'],1시간 33분
4593,,0,0,[],
4596,우뢰매 2,2.8,"2,632",['1986 ・ 액션 ・ 한국'],1시간 30분
4600,변강쇠 2,2.2,60,['1987 ・ 드라마 ・ 한국'],1시간 43분
4623,,0,0,[],
4625,,0,0,[],
4626,은하에서 온 별똥왕자 3 - 은하열차 88,2.2,58,['1988 ・ 한국'],1시간 35분
4628,,0,0,[],
4634,우뢰매 4 - 썬더브이 출동,2.8,"2,163",['1987 ・ 액션 ・ 한국'],1시간 25분
4635,,0,0,[],
4665,,0,0,[],
4668,백치 아다다,3.5,62,['1956 ・ 드라마 ・ 한국'],
4685,푸른 하늘 은하수,2.1,5,['1984 ・ 한국'],1시간 55분
4747,,0,0,[],
4752,구름은 흘러도,3.4,22,['1959 ・ 드라마 ・ 한국'],1시간 40분
4774,열 아홉 쌩머리,1.3,2,['1985 ・ 한국'],1시간 33분
4779,,0,0,[],
4787,,0,0,[],
4790,,0,0,[],
4796,아내,2.5,1,['1983 ・ 한국'],1시간 36분
4797,바람 어디서 부는지,2.3,34,['2020 ・ 단편 ・ 한국'],22분
4800,,0,0,[],
4806,,0,0,[],
4808,황제,0,0,['2001 ・ 영국'],5분
4809,바비의 일생,3.5,2,['1996 ・ 다큐멘터리 ・ 미국'],58분
4810,,0,0,[],
4811,,0,0,[],
4812,어 미닛 어고,0,0,['2014 ・ 미국'],9분
4828,형 2,4.3,2,['1971 ・ 한국'],1시간 23분
4833,,0,0,[],
4836,쓰리 쿼터스 오브 어 라이프,0,0,['1971 ・ 다큐멘터리 ・ 프랑스'],20분
4841,일하는 여자들,3.6,24,['2019 ・ 다큐멘터리 ・ 한국'],21분
4846,송골매의 모두 다 사랑하리,2.5,13,['1983 ・ 로맨스 ・ 한국'],1시간 33분
4850,,0,0,[],
4867,카추사,0.8,4,['1971 ・ 한국'],1시간 30분
4886,,0,0,[],
4890,,0,0,[],
4891,더 도터스 오브 파이어,2.9,8,['2018 ・ 드라마 ・ 아르헨티나'],1시간 55분
4892,,0,0,[],
4896,,0,0,[],
4898,불새,2.5,480,['1997 ・ 로맨스 ・ 한국'],1시간 54분
4900,낙선,0,0,['2000 ・ 다큐멘터리 ・ 한국'],1시간 24분
4906,,0,0,[],
4922,가장 위험한 해,2.7,473,['1983 ・ 로맨스 ・ 호주'],1시간 57분
4939,경축! 우리 사랑,2.6,"1,136",['2008 ・ 드라마 ・ 한국'],1시간 40분
4949,영하의 바람,2.8,542,['2018 ・ 드라마 ・ 한국'],
4955,,0,0,[],
4962,,0,0,[],
4973,다시 태어나도 우리,4.0,"6,378",['2016 ・ 다큐멘터리 ・ 한국'],
4983,"봄, 여름, 가을 그리고 겨울",4.0,1,['1971 ・ 한국'],1시간 44분
5065,연인들,0,0,['1983 ・ 드라마 ・ 한국'],1시간 33분
5068,1950년 4시,3.5,20,['1972 ・ 한국'],1시간 32분
5077,0시의 호텔,2.0,4,['1983 ・ 스릴러 ・ 한국'],1시간 40분
5079,,0,0,[],
5081,여선생,1.8,5,['1972 ・ 드라마 ・ 홍콩 ・ 한국'],1시간 26분
5084,,0,0,[],
5093,,0,0,[],
5104,,0,0,[],
5107,위대한 헌터 G.J.,2.0,25,['1995 ・ 액션 ・ 한국'],1시간 38분
5108,오엑스,0,0,['1991 ・ 한국'],
5109,이도백화,0,0,['1994 ・ 한국'],1시간 40분
5112,삘구,2.2,11,['1994 ・ 드라마 ・ 한국'],1시간 36분
5122,301 302,2.9,"3,506",['1995 ・ 드라마 ・ 한국'],1시간 39분
5124,고교 오성군 한음군,2.3,10,['1988 ・ 한국'],1시간 47분
5135,하루,2.9,4만,['2017 ・ 미스터리 ・ 한국'],
5148,동물 농장,3.2,176,['1999 ・ 가족 ・ 미국'],1시간 31분
5158,패트리어트 - 늪 속의 여우,3.7,4만,['2000 ・ 드라마 ・ 미국'],
5161,미 마이셀프 앤드 아이린,3.4,2만,['2000 ・ 코미디 ・ 미국'],
5183,바람계곡의 나우시카,4.0,17만,['1984 ・ 애니메이션 ・ 일본'],
5191,더블 테이크,1.9,8,['2001 ・ 액션 ・ 미국'],1시간 28분
5211,슈가 앤 스파이스,3.0,218,['2001 ・ 범죄 ・ 미국'],1시간 21분
5220,Adventures of the Texas Kid: Border Ambush,0,0,['1954 ・ 서부극'],
5222,으랏차차 스모부,3.1,"7,287",['1991 ・ 스포츠 ・ 일본'],1시간 45분
5225,라이즈 오브 더 풋솔져 3,3.2,15,['2017 ・ 액션 ・ 영국'],
5231,여행의 선물 내일,1.3,4,['2012 ・ 드라마 ・ 일본'],1시간 49분
5242,고남과녀: 니딩유,3.2,171,['2000 ・ 로맨스 ・ 홍콩'],
5246,수쥬,3.0,"1,059",['2000 ・ 드라마 ・ 중국 ・ 독일'],1시간 23분
5254,마고,1.3,73,['2000 ・ 한국'],1시간 20분
5259,7인의 새벽,1.5,57,['2001 ・ 액션 ・ 한국'],1시간 38분
5260,용가리,1.7,"8,834",['1999 ・ 판타지 ・ 한국'],1시간 30분
5263,촉산전,2.9,"4,950",['2001 ・ 액션 ・ 홍콩'],
5269,오 형제여 어디 있는가,3.6,"6,430",['2000 ・ 모험 ・ 미국'],
5276,스무살,1.7,78,['2001 ・ 드라마 ・ 한국'],1시간 34분
5279,MOB 2025,1.7,28,['2000 ・ 한국'],38분
5281,블레어 윗치 2 - 어둠의 경전,2.0,515,['2000 ・ 공포 ・ 미국'],
5283,라벤더,3.2,256,['2000 ・ 판타지 ・ 홍콩'],
5287,방학 대소동 - 여름방학 구출작전,3.0,48,['2001 ・ 애니메이션 ・ 미국'],1시간 22분
5293,3000 마일,2.7,437,['2001 ・ 액션 ・ 미국'],
5296,구성보희,3.3,46,['1998 ・ 음악 ・ 홍콩'],
5307,,0,0,[],
5316,15분,3.2,"3,443",['2001 ・ 액션 ・ 미국'],2시간 00분
5324,베로니카 - 사랑의 전설,2.7,"1,455",['1998 ・ 로맨스 ・ 미국'],1시간 51분
5326,교도소 월드컵,2.4,"2,771",['2001 ・ 스포츠 ・ 한국'],1시간 44분
5328,타인의 취향,3.7,1만,['2000 ・ 코미디 ・ 프랑스'],
5341,바비의 공주와 거지,3.5,"3,028",['2004 ・ 애니메이션 ・ 미국'],1시간 25분
5343,행복한 가족 계획,3.1,16,['1999 ・ 일본'],1시간 38분
5346,썸머타임,1.7,"5,657",['2001 ・ 성인 ・ 한국'],1시간 43분
5351,2001 스페이스 오디세이,2.7,70,['2000 ・ 코미디 ・ 독일 ・ 캐나다 ・ 미국'],1시간 36분
5354,카오스,2.7,67,['1999 ・ 스릴러 ・ 일본'],1시간 43분
5368,포켓몬스터 3 : 결정탑의 제왕 엔테이,3.1,"2,175",['2000 ・ 애니메이션 ・ 일본'],1시간 10분
5370,러그래츠: 야! 러그래츠,3.5,610,['1998 ・ 애니메이션 ・ 미국'],1시간 19분
5382,,0,0,[],
5384,브리짓 존스의 일기,3.7,27만,['2001 ・ 코미디 ・ 영국 ・ 프랑스 ・ 미국'],
5403,맥쿨에서의 하룻밤,2.9,59,['2001 ・ 범죄 ・ 미국'],1시간 33분
5419,넘버 원이 되는 법,2.9,7,['1997 ・ 중국 ・ 홍콩'],1시간 29분
5421,나는 행복하다,0,0,['2000 ・ 다큐멘터리 ・ 한국'],46분
5424,길로틴 트래지디,3.3,145,['2000 ・ 시대극 ・ 프랑스 ・ 캐나다'],1시간 50분
5430,뱀파이어 헌터 D,3.8,718,['1985 ・ 판타지 ・ 일본'],1시간 20분
5437,아모레스 페로스,3.8,"6,956",['2000 ・ 드라마 ・ 멕시코'],
5439,에이 아이,4.0,34만,['2001 ・ 모험 ・ 미국'],
5442,리틀 청,3.4,59,['1999 ・ 드라마 ・ 홍콩'],1시간 56분
5456,킬러들의 수다,3.3,16만,['2001 ・ 드라마 ・ 한국'],2시간 00분
5457,추신구라 1/47,3.2,240,['2001 ・ 드라마 ・ 일본'],2시간 40분
5458,ムルデカ MERDEKA 17805,0.5,1,['2001'],2시간 2분
5469,케어베어: 아낌없이 주는 축제,2.8,2,['2010 ・ 애니메이션 ・ 캐나다 ・ 미국'],
5472,이발소,3.2,64,['1999 ・ 드라마 ・ 한국'],20분
5487,언톨드 스토리,2.6,16,['2002 ・ 한국'],1시간 24분
5492,,0,0,[],
5495,거기 지금 몇시인가요?,3.9,258,['2001 ・ 대만 ・ 프랑스'],1시간 56분
5499,음양로 5 - 일견발재,3.0,2,['1999 ・ 홍콩'],
5507,우렁 각시,2.4,26,['2001 ・ 판타지 ・ 한국'],1시간 33분
5512,아버지와 딸,3.8,"2,366",['2000 ・ 애니메이션 ・ 네덜란드 ・ 영국'],8분
5515,콘벤트,2.7,61,['2000 ・ 공포 ・ 미국'],1시간 24분
5519,인디아나 존스: 마궁의 사원,3.9,13만,['1984 ・ 액션 ・ 미국'],
5520,인디아나 존스 - 최후의 성전,3.9,14만,['1989 ・ 판타지 ・ 미국'],
5530,갱스 오브 뉴욕,3.5,6만,['2002 ・ 범죄 ・ 미국 ・ 이탈리아'],
5544,비지터 3 - 저스트 비지팅,3.0,"3,139",['2001 ・ 판타지 ・ 프랑스 ・ 미국'],1시간 27분
5551,스코어,3.1,"2,122",['2001 ・ 스릴러 ・ 미국 ・ 독일'],2시간 4분
5552,영웅: 천하의 시작,3.5,6만,['2002 ・ 액션 ・ 중국'],1시간 49분
5553,도둑 가족 이야기,1.0,1,['1986 ・ 프랑스'],
5570,명탐정 코난 : 눈동자 속의 암살자,3.6,2만,['2000 ・ 애니메이션 ・ 일본'],1시간 40분
5571,탈리스만의 저주,0,0,['2000 ・ 미국'],
5573,엘리스는 이제 여기 살지 않는다,3.5,473,['1974 ・ 드라마 ・ 미국'],1시간 52분
5577,,0,0,[],
5580,케이조쿠 - 극장판,3.2,841,['2000 ・ 스릴러 ・ 일본'],1시간 58분
5589,노란 잠수함,3.8,"2,241",['1968 ・ 가족 ・ 영국 ・ 미국'],1시간 25분
5594,프린세스 다이어리,3.6,38만,['2001 ・ 코미디 ・ 미국'],
5597,명탐정 코난 : 눈동자 속의 암살자,3.6,2만,['2000 ・ 애니메이션 ・ 일본'],1시간 40분
5598,올 더 프리티 호시즈,2.8,82,['2000 ・ 드라마 ・ 미국'],1시간 57분
5608,오스모시스 존스,3.4,"1,465",['2001 ・ 애니메이션 ・ 미국'],1시간 35분
5614,리앙크루,0,0,['2002 ・ 한국'],
5619,엽문 2,3.5,11만,['2010 ・ 액션 ・ 홍콩 ・ 중국'],
5620,"어제, 오늘, 내일",3.5,96,['1963 ・ 코미디 ・ 이탈리아 ・ 프랑스'],1시간 58분
5625,살아있는 영혼들,1.5,1,['2001 ・ 드라마 ・ 북한'],1시간 40분
5630,붉은 전사,2.1,322,['1994 ・ 스릴러 ・ 미국'],
5633,블랙 엔젤,2.3,381,['2002 ・ 드라마 ・ 이탈리아'],
5635,런 투 유,1.4,10,['2002 ・ 로맨스 ・ 한국'],1시간 32분
5636,와이즈걸,3.3,10,['2002 ・ 드라마 ・ 캐나다 ・ 영국 ・ 미국'],1시간 36분
5638,공포의 집,2.5,20,['2000 ・ 공포 ・ 미국'],1시간 36분
5641,런딤,2.5,120,['2001 ・ 애니메이션 ・ 한국'],1시간 22분
5652,캠퍼스 레전드 2 - 파이널 컷,2.1,136,['2000 ・ 공포 ・ 캐나다 ・ 미국'],1시간 40분
5660,낚시 바보 일지 12,3.0,4,['2001 ・ 코미디 ・ 일본'],1시간 51분
5663,엽기적인 그녀,3.8,82만,['2001 ・ 드라마 ・ 한국'],
5665,,0,0,[],
5667,포화 속의 용기 - 두 가족,0,0,['1997 ・ 미국'],
5672,뱀파이어 연인,3.3,23,['1970 ・ 공포 ・ 영국 ・ 미국'],1시간 30분
5679,,0,0,[],
5685,Samurai Jack: The Premiere Movie,0,0,['2001 ・ SF'],
5689,"조용, 촬영 중",0,0,['2001 ・ 다큐멘터리 ・ 프랑스 ・ 이집트'],1시간 42분
5690,피스톨 오페라,3.3,232,['2001 ・ 액션 ・ 일본'],1시간 52분
5691,방콕 데인저러스,2.8,49,['1999 ・ 액션 ・ 태국'],1시간 45분
5706,해선,3.5,1,['2001 ・ 드라마 ・ 중국'],1시간 30분
5707,비밀 투표,3.6,39,['2001 ・ 코미디 ・ 캐나다 ・ 이탈리아 ・ 이란 ・ 스위스'],1시간 40분
5708,,0,0,[],
5709,태양의 저편,3.5,25,['2001 ・ 드라마 ・ 프랑스 ・ 브라질 ・ 스위스'],1시간 45분
5711,청혼,3.0,479,['1999 ・ 로맨틱코미디 ・ 미국'],1시간 40분
5718,마리포사,3.4,"1,443",['2000 ・ 드라마 ・ 스페인'],1시간 35분
5721,마틴스,2.5,2,['2001 ・ 영국'],
5725,파로에서 온 내 친구,3.4,52,['2008 ・ 드라마 ・ 독일'],1시간 30분
5727,라이방,3.3,255,['2001 ・ 드라마 ・ 한국'],1시간 31분
5731,마이크 바셋,3.4,5,['2001 ・ 코미디 ・ 영국'],1시간 29분
5732,에니그마,2.6,68,['2001 ・ 독일 ・ 영국 ・ 미국'],1시간 57분
5744,해리포터와 마법사의 돌,4.1,70만,['2001 ・ 모험 ・ 영국 ・ 미국'],
5751,고,3.4,3만,['2001 ・ 드라마 ・ 일본'],
5756,The Debut,3.5,1,['2000 ・ 드라마'],
5776,영국인,3.3,78,['1999 ・ 드라마 ・ 미국'],1시간 30분
5780,쿨 앤 크레이지,4.0,3,['2001 ・ 다큐멘터리 ・ 노르웨이'],1시간 45분
5785,라간 : 옛날옛적 인도에서,3.5,278,['2001 ・ 스포츠 ・ 인도'],
5786,방라잔,2.4,7,['2000 ・ 액션 ・ 태국'],1시간 59분
5788,수리요타이,3.8,3,['2001 ・ 태국'],3시간 5분
5789,팻 걸,2.9,2만,['2000 ・ 드라마 ・ 프랑스 ・ 이탈리아 ・ 스페인'],
5791,,0,0,[],1시간 35분
5796,빵과 우유,3.4,639,['2003 ・ 드라마 ・ 한국'],27분
5801,본즈,2.3,14,['2001 ・ 액션 ・ 미국'],1시간 36분
5803,아소카,3.4,37,['2001 ・ 인도'],2시간 56분
5806,파라다이스 빌라,2.1,212,['2000 ・ 공포 ・ 한국'],1시간 35분
5812,더 럭키 원,3.3,"5,056",['2012 ・ 로맨스 ・ 미국'],
5828,워쉬,2.8,29,['2001 ・ 코미디 ・ 미국'],1시간 33분
5832,크레이지 뷰티풀,3.5,"8,654",['2001 ・ 로맨스 ・ 미국'],1시간 35분
5843,그리스도 최후의 유혹,3.4,"1,952",['1988 ・ 캐나다 ・ 미국'],
5854,크리스마스 캐롤,3.1,60,['2001 ・ 애니메이션 ・ 독일 ・ 영국'],1시간 17분
5859,블레이드 II,3.5,13만,['2002 ・ 판타지 ・ 미국 ・ 독일'],
5864,섹스 아카데미,2.5,"2,605",['2001 ・ 코미디 ・ 미국'],
5868,천재 소년 지미 뉴트론,3.3,"6,807",['2001 ・ 애니메이션 ・ 미국'],1시간 24분
5873,턴 잇 업,2.7,10,['2002 ・ 드라마 ・ 한국'],1시간 29분
5883,내 마음의 풍금,3.3,6만,['1999 ・ 로맨스 ・ 한국'],2시간 12분
5884,콜래트럴 데미지,2.8,"2,727",['2002 ・ 액션 ・ 미국'],1시간 55분
5885,,0,0,[],
5894,에이 2,4.0,4,['2001 ・ 다큐멘터리 ・ 일본'],2시간 11분
5899,라이터를 켜라,2.9,7만,['2002 ・ 코미디 ・ 한국'],1시간 45분
5915,플라스틱 트리,2.2,604,['2002 ・ 로맨스 ・ 프랑스 ・ 한국'],1시간 43분
5922,,0,0,[],
5924,서울,2.1,105,['2002 ・ 액션 ・ 일본'],1시간 48분
5925,스파이더맨,3.8,68만,['2002 ・ 액션 ・ 미국'],
5927,파이널컷 포 오슨: 40 이어스 인 더 메이킹,3.4,4,['2018 ・ 다큐멘터리 ・ 미국'],38분
5934,람보 3,3.1,1만,['1988 ・ 액션 ・ 미국'],
5936,다찌마와 리,3.1,"5,058",['2000 ・ 액션 ・ 한국'],35분
5937,터미네이터 3 - 라이즈 오브 더 머신,3.4,23만,['2003 ・ 액션 ・ 미국 ・ 독일 ・ 영국'],
5940,스노우 독스,3.2,455,['2002 ・ 코미디 ・ 미국'],
5945,,0,0,[],
5949,낙타들,3.4,73,['2001 ・ 드라마 ・ 한국'],1시간 31분
5954,페이스,1.9,"1,654",['2004 ・ 공포 ・ 한국'],
5955,연인의 연인,0.5,1,['1994 ・ 대만 ・ 홍콩'],1시간 30분
5956,대전 블루스,2.2,9,['2019 ・ 드라마 ・ 한국'],1시간 37분
5958,돈 세이 워드,3.1,"3,478",['2001 ・ 범죄 ・ 미국'],1시간 52분
5970,몬테 크리스토 백작,3.5,1만,['2002 ・ 액션 ・ 영국 ・ 미국 ・ 아일랜드'],2시간 11분
5971,모스맨,2.7,973,['2002 ・ 스릴러 ・ 미국'],1시간 59분
5976,싸울아비,1.3,228,['2001 ・ 로맨스 ・ 일본 ・ 한국'],
5979,폰,2.7,2만,['2002 ・ 공포 ・ 한국'],1시간 44분
5986,마그리트 뒤라스의 사랑,3.5,7,['2001 ・ 드라마 ・ 프랑스'],1시간 30분
5993,,0,0,[],
5995,워터 드랍스 온 버닝 락,3.1,"2,024",['2000 ・ 드라마 ・ 프랑스'],1시간 30분
5997,,0,0,[],
6005,감자 Vs. 바나나,0,0,['2001 ・ 한국'],17분
6010,천국의 미소,3.6,54,['1999 ・ 드라마 ・ 이란'],1시간 30분
6012,텔시 루퍼 가방 1부,3.3,24,['2003 ・ 역사 ・ 스페인 ・ 독일 ・ 이탈리아 ・ 영국 ・ 네덜란드 ・ 러시아 ・ 헝가리'],2시간 7분
6015,많은 일이 일어났다,3.3,2,['2002 ・ 독일'],1시간 36분
6024,티쇼밍 블루스,0,0,['2003 ・ 미국'],
6030,라 만차,3.0,45,['2002 ・ 다큐멘터리 ・ 영국 ・ 미국'],1시간 33분
6034,Brucio nel vento,0,0,['2002 ・ 드라마 ・ 이탈리아 ・ 스위스'],
6037,상대적 가치,3.1,86,['2000 ・ 코미디 ・ 영국'],1시간 27분
6040,안전한 행동,3.2,13,['2002 ・ 프랑스'],2시간 50분
6046,역도산,2.7,5만,['2004 ・ 드라마 ・ 한국 ・ 일본'],2시간 17분
6056,,0,0,[],
6057,케이트 앤 레오폴드,3.2,1만,['2001 ・ 판타지 ・ 미국'],1시간 58분
6058,웃음 소리,2.8,10,['1978 ・ 드라마 ・ 한국'],1시간 25분
6062,세션 나인,2.9,819,['2001 ・ 스릴러 ・ 미국'],
6063,몽중인,2.1,87,['2001 ・ 로맨스 ・ 한국'],1시간 46분
6065,써클,3.3,258,['2000 ・ 드라마 ・ 이탈리아 ・ 이란'],1시간 30분
6066,피터 팬 2 - 리턴 투 네버랜드,3.4,"8,405",['2002 ・ 애니메이션 ・ 미국'],1시간 12분
6072,"선거, 일본의 경우 2 (고치현 쿠로시오쵸의 경우)",1.0,1,['2011 ・ 한국'],1시간 36분
6083,돌아오지 않는 해병,3.4,880,['1963 ・ 액션 ・ 한국'],1시간 50분
6085,Pingu's The Thing,2.0,1,['2012 ・ 코미디'],
6091,패밀리,1.6,283,['2002 ・ 액션 ・ 한국'],1시간 58분
6092,드래곤볼Z 극장판 1—데드 존,3.4,"2,579",['1989 ・ 액션 ・ 일본'],
6095,,0,0,[],
6106,킬링 미 소프트리,2.4,318,['2002 ・ 드라마 ・ 미국 ・ 영국'],1시간 40분
6108,8849m,2.5,3,['2001 ・ 한국'],11분
6109,드래곤플라이,2.7,345,['2002 ・ SF ・ 미국'],
6112,,0,0,[],
6118,베즈무아: 거친그녀들,2.5,173,['2000 ・ 스릴러 ・ 프랑스'],1시간 17분
6120,,0,0,[],
6125,퓨처라마 3: 벤더의 게임,3.6,215,['2008 ・ 애니메이션 ・ 미국'],1시간 28분
6129,,0,0,[],
6130,,0,0,[],
6132,,0,0,[],
6133,화염 속의 여걸들 - 여성 소방수 이야기,0,0,['2001 ・ 다큐멘터리 ・ 독일 ・ 미국'],54분
6137,칼리 사와르,2.0,1,['2001 ・ 드라마 ・ 인도'],1시간 53분
6139,카불 카불,0,0,['2000 ・ 미국 ・ 아프가니스탄'],46분
6148,클락스토퍼스,2.8,134,['2002 ・ 미국'],1시간 34분
6154,사랑해 사랑해,3.9,158,['1968 ・ 로맨스 ・ 프랑스'],1시간 34분
6155,침실에서,3.4,87,['2001 ・ 드라마 ・ 미국'],2시간 10분
6157,,0,0,[],
6159,몽키본,2.9,145,['2001 ・ 판타지 ・ 미국'],1시간 32분
6166,,0,0,[],
6173,엽기 캠퍼스,2.7,237,['2002 ・ 로맨틱코미디 ・ 독일 ・ 미국'],1시간 35분
6175,할리우드 엔딩,3.4,"1,345",['2002 ・ 로맨틱코미디 ・ 미국'],1시간 51분
6181,고 웨스트,3.0,1,['2002 ・ 로맨스 ・ 한국'],21분
6182,생,2.9,11,['1999 ・ 한국'],19분
6190,마르티나,3.0,170,['2001 ・ 로맨스 ・ 스페인'],1시간 35분
6192,이혼의 아이들,0,0,['1989 ・ 이란'],
6197,24시간 파티하는 사람들,3.6,617,['2002 ・ 영국 ・ 네덜란드'],1시간 56분
6206,다크 엔젤,3.3,465,['2000 ・ 스릴러 ・ 미국'],
6213,아이언 마스크,3.3,5만,['1998 ・ 액션 ・ 프랑스 ・ 미국'],
6219,,0,0,[],
6220,,0,0,[],
6221,살로 소돔의 120일,2.5,"7,901",['1975 ・ 전쟁 ・ 이탈리아 ・ 프랑스'],1시간 56분
6222,야성녀 아이비,2.5,"1,616",['1992 ・ 드라마 ・ 미국'],1시간 29분
6224,고 피쉬,3.3,24,['1994 ・ 로맨스 ・ 미국'],1시간 24분
6225,스톤월,3.3,186,['2015 ・ 드라마 ・ 미국'],
6234,호텔,2.5,12,['2001 ・ 코미디 ・ 이탈리아 ・ 영국'],1시간 54분
