,제목,별점,사람,기타정보,상영시간
331,매드 맥스 3,3.2,"8,482",['1985 ・ 액션 ・ 미국 ・ 호주'],1시간 48분
332,문라이트 앤 발렌티노,2.9,914,['1995 ・ 코미디 ・ 영국 ・ 미국'],
338,부시: 레터-데이 플레이스,0,0,['2001 ・ 드라마 ・ 미국'],
347,호타루,3.2,16,['2000 ・ 드라마 ・ 일본'],2시간 44분
348,달콤한 후세,3.5,445,['1997 ・ 캐나다'],1시간 50분
353,하늘로 날아간 소년,3.1,9,['1986 ・ 캐나다'],
356,Cattle Queen of Montana,0,0,['1954 ・ 서부극 ・ 미국'],1시간 28분
361,3인조,2.5,"1,277",['1997 ・ 액션 ・ 한국'],
373,브라더 오브 슬립,3.5,42,['1995 ・ 로맨스 ・ 독일'],2시간 7분
376,에비타,3.2,"8,628",['1996 ・ 음악 ・ 미국'],
377,정글투정글,2.7,77,['1997 ・ 코미디 ・ 미국'],1시간 45분
378,암살자,2.6,46,['1997 ・ 드라마 ・ 프랑스'],2시간 8분
379,라프 매직,2.2,19,['1996 ・ 로맨틱코미디 ・ 프랑스 ・ 영국 ・ 미국'],1시간 44분
381,가이버 2,2.7,78,['1994 ・ 액션 ・ 미국'],2시간 8분
386,레인보우 워리어 폭파 사건,2.5,1,['1992 ・ 드라마 ・ 미국'],1시간 30분
391,,0,0,[],
395,워커홀릭,2.4,15,['1996 ・ 로맨틱코미디 ・ 독일'],1시간 30분
413,배트맨 앤 로빈,2.5,2만,['1997 ・ 판타지 ・ 미국'],2시간 5분
414,스탈린그라드: 최후의 전투,3.6,"6,685",['1993 ・ 드라마 ・ 독일 ・ 스웨덴'],
418,여정의 끝,3.1,26,['1977 ・ 전쟁 ・ 영국'],1시간 54분
423,아 카르멜라,3.1,14,['1990 ・ 스페인'],1시간 42분
424,사하라 전차대,3.7,66,['1995 ・ 모험 ・ 호주 ・ 미국'],1시간 46분
427,미스테리 특급 2,2.3,2,['1996 ・ 공포 ・ 미국'],1시간 28분
428,극장판 짱구는 못말려 2기: 부리부리 왕국의 숨겨진 보물,3.6,5만,['1994 ・ 애니메이션 ・ 일본'],
429,科学忍者隊ガッチャマン 電子怪獣レンジラー,0,0,['1973'],25분
430,스타워즈 에피소드 5: 제국의 역습,4.0,9만,['1980 ・ SF ・ 미국'],
431,유리 겔라의 비밀,2.5,2,['1995 ・ 미국'],1시간 33분
435,동물원,3.7,84,['1985 ・ 드라마 ・ 영국 ・ 네덜란드'],1시간 56분
437,베이비 오브 메이콘,3.2,67,['1993 ・ 독일 ・ 프랑스 ・ 영국 ・ 벨기에'],2시간 2분
439,쥴 앤 짐,3.7,"8,766",['1962 ・ 드라마 ・ 프랑스'],
443,모탈 컴뱃 2,2.2,452,['1997 ・ 판타지 ・ 미국'],1시간 35분
447,외팔이,3.6,568,['1967 ・ 액션 ・ 홍콩'],1시간 51분
448,협녀,3.6,538,['1971 ・ 액션 ・ 대만 ・ 홍콩'],
450,영웅본색,3.9,18만,['1986 ・ 액션 ・ 홍콩'],
451,협녀,3.6,538,['1971 ・ 액션 ・ 대만 ・ 홍콩'],
457,중원대결투,3.5,4,['1988 ・ 액션 ・ 중국'],
471,타이판,2.4,6,['1986 ・ 미국'],2시간 7분
