영화코드,코사인유사도,c_index
31452,0.8845675203682393,128
39717,0.7048200337500106,164
59365,0.8170099394234135,185
18217,0.7158045464872954,190
52457,0.6797440032469061,193
131925,0.7446437368023782,195
11414,0.6406375629060264,214
16474,0.7165904614772379,216
44722,0.6866371095060907,243
18741,0.8421796720478987,247
24672,0.6628156036509502,258
11291,0.4797836083883901,259
29676,0.692820323027551,261
125614,0.6968017802132084,262
77179,0.503760191888051,265
132246,0.6072273948253302,273
105679,0.7287209978778739,274
43698,0.4427382989521805,275
12814,0.5324977701702562,283
58759,0.7715354986142623,284
119923,0.5765432051183875,288
127604,0.6196120699057001,289
2674,0.7012421769529079,324
89398,0.7239522119127197,356
116643,0.7636363636363634,379
103380,0.6356744903915645,415
127277,0.6257253402287357,423
27144,0.8113286740257668,427
42893,0.7636174635894267,428
102569,0.5689530053991022,429
129185,0.6048629663854516,449
26410,0.5810736659872677,501
116940,0.5439322531067977,506
31616,0.7000969266422579,528
113443,0.6318430249036109,534
49530,0.9119479671553814,536
17933,0.9666295470957653,555
73921,0.8028921947276968,562
25699,0.7639320225002104,564
18269,0.8955223880597015,588
109084,0.6527583325060704,611
16572,0.675524860996864,626
125755,0.7374133532198698,664
42591,0.9530736989144751,665
74135,0.7257277587322123,694
57676,0.7691600040134814,695
70396,0.5454568787678008,725
83887,0.6301949466793824,729
117132,0.6102427053736922,731
143054,0.6656189574858093,758
83887,0.6588063518078331,810
142696,0.6736465060493847,836
82931,0.5768185252541155,842
140556,0.6743216628082157,852
30102,0.7304785682256381,853
80739,0.7660905335549124,854
120165,0.7424639063482856,863
33827,0.7402899739983394,866
52179,0.6847389924557953,871
92507,0.8741961820246235,884
11894,0.6972997125111614,889
1319,0.6172582149219143,904
11147,0.7266728646248583,945
69945,0.6297448377516485,946
46641,0.49501525078535796,947
110623,0.5604637816840754,979
25677,0.553907247907521,980
126394,0.7392197521855312,985
141008,0.5400944394896855,1002
97507,0.8404574157644024,1008
10290,0.6496175752295426,1051
110110,0.6189963357512126,1066
47643,0.7323102557622755,1067
102383,0.5319775184718458,1075
79489,0.6560825658138085,1099
105931,0.733475242993678,1129
31406,0.49016561439507256,1149
40465,0.7392712446442562,1150
12707,0.6172417786913807,1151
35832,0.8382805800635532,1178
82820,0.6877720338130351,1182
24741,0.8971962616822429,1195
91497,0.6648256639775308,1207
32715,0.6320005647292017,1208
42731,0.7627706343361829,1232
17939,0.6446853907089788,1253
