제목,개봉일,국가,장르,별점,네티즌수
리허설,1995-12-16,한국,성인,6.0,8
너희가 재즈를 믿느냐,1996-09-21,한국,드라마,4.5,2
맨?,1995-12-02,한국,코미디,5.8,5
총잡이,1995-07-29,한국,코미디,7.0,1
박봉곤 가출사건,1996-09-21,한국,코미디,7.0,9
천재선언,1995-07-01,한국,코미디,6.0,1
금홍아 금홍아,1995-04-22,한국,로맨스/멜로,7.0,13
언픽스,1996-09-21,"한국, 홍콩",액션,3.0,2
말미잘,1995-03-31,한국,드라마,4.0,3
채널 식스나인,1996-08-24,한국,드라마,6.3,3
삼공일 삼공이,1995-04-21,한국,미스터리/드라마,7.3,35
아기공룡 둘리 : 얼음별 대모험,1996-07-24,한국,코미디/가족/SF/어드벤처/애니메이션,8.9,51
꼬리치는 남자,1995-10-07,한국,코미디,7.4,5
지독한 사랑,1996-06-15,한국,로맨스/멜로,6.8,9
누가 나를 미치게 하는가,1995-09-30,한국,코미디/로맨스/멜로/드라마,4.2,4
보스,1996-07-06,한국,액션,3.3,46
무소의 뿔처럼 혼자서 가라,1995-10-07,한국,드라마,6.4,7
어른들은 청어를 굽는다,1996-06-22,한국,드라마,6.0,1
존 말코비치 되기,2000-05-13,미국,코미디/판타지,7.3,69
에린 브로코비치,2000-05-04,미국,드라마,8.8,99
그녀를 보기만 해도 알 수 있는 것,2000-05-27,미국,로맨스/멜로/드라마,8.8,5
칠 팩터,2000-05-27,미국,액션/어드벤처,6.8,6
감각의 제국,2015-03-26,"일본, 프랑스",로맨스/멜로/드라마,6.9,66
애니 기븐 선데이,2000-05-20,미국,드라마,8.1,38
에이리언 2020,2000-05-20,"미국, 오스트레일리아",액션/SF,7.5,49
4월 이야기,2013-04-25,일본,드라마/로맨스/멜로,8.3,166
룰루,2000-05-27,스페인,드라마/성인,5.3,3
헌티드 힐,2000-04-08,미국,스릴러/공포,6.2,25
오! 수정,2000-05-27,한국,코미디/로맨스/멜로/드라마,5.8,84
걸 온 더 브릿지,2000-04-08,프랑스,코미디/로맨스/멜로,8.1,14
동감,2020-05-14,한국,로맨스/멜로/판타지,8.7,166
백치들,2000-05-20,"스페인, 덴마크, 스웨덴, 프랑스, 네덜란드, 이탈리아",코미디/드라마,5.3,6
스컬스,2000-05-27,미국,스릴러,6.4,8
인터뷰,2000-04-01,한국,로맨스/멜로,6.3,16
하나의 선택,2000-05-13,"이탈리아, 영국",로맨스/멜로/드라마,7.3,3
노마 진 앤 마릴린,2000-04-08,영국,드라마,6.5,2
글래디에이터,2000-06-03,"영국, 미국",액션/드라마,9.2,526
지금은 통화중,2000-04-08,미국,코미디,8.0,3
티거무비,2000-05-04,미국,가족/애니메이션,10.0,1
