제목,개봉일,국가,장르,별점,네티즌수
결혼 피로연,2017-06-08,"대만, 미국",드라마/코미디/로맨스/멜로,8.0,31
올리버 스톤의 킬러,1995-04-15,미국,액션/범죄,7.1,28
쿵후 선생,2017-06-01,대만,드라마/가족,7.8,6
초콜렛,2001-02-24,"영국, 미국",코미디/로맨스/멜로,8.3,53
엑스 파일 : 미래와의 전쟁,1998-08-01,미국,미스터리,7.5,23
아름다운 세상을 위하여,2001-02-17,미국,로맨스/멜로/드라마,8.7,100
공포분자,2020-09-17,대만,드라마,7.9,15
고령가 소년 살인 사건,2017-11-23,대만,드라마,7.8,46
독립시대,0000-00-00,대만,코미디,6.0,1
마작,0000-00-00,대만,드라마,10.0,1
하나 그리고 둘,2018-06-28,"대만, 일본",드라마,8.2,35
용서받지 못한 자,1993-03-13,미국,범죄/서부,8.8,73
사랑과 영혼,2017-12-27,미국,로맨스/멜로/판타지,8.5,165
인도차이나,2017-05-25,프랑스,드라마/로맨스/멜로,7.8,34
영 건스 2,0000-00-00,미국,코미디,8.2,5
영 건스,1989-05-12,미국,서부,8.9,11
딕 트레이시,1991-01-19,미국,액션,8.1,16
죽은 시인의 사회,2016-08-17,미국,드라마,9.4,773
시라노,1990-07-14,프랑스,코미디/로맨스/멜로,8.5,13
드라이빙 미스 데이지,1990-05-12,미국,드라마,8.5,35
영광의 깃발,,미국,전쟁/드라마,8.6,45
철목련,0000-00-00,미국,드라마,8.7,11
꼬마 돼지 베이브,1996-01-13,"오스트레일리아, 미국",가족/어드벤처,8.5,34
하류,,대만,드라마,6.8,4
애정만세,1995-12-00,대만,드라마,8.3,13
청소년 나타,0000-00-00,대만,드라마,7.0,1
일곱 가지 유혹,2001-02-24,"독일, 미국",코미디/로맨스/멜로,7.6,33
더 길티,2001-02-24,"영국, 미국, 캐나다",범죄/스릴러,8.0,9
어둠 속의 댄서,2019-02-21,"덴마크, 독일, 네덜란드, 이탈리아, 미국, 영국, 프랑스, 스웨덴, 핀란드, 아이슬란드, 노르웨이",뮤지컬/드라마/범죄,8.3,71
비버리 힐스 캅,1985-09-28,미국,액션/코미디/범죄/스릴러,7.6,11
비버리 힐스 캅 3,1994-09-03,미국,액션/코미디/범죄/스릴러,5.7,3
해상화,,"대만, 일본",드라마,5.0,3
남국재견,,"대만, 일본",드라마,8.0,4
호남호녀,,"대만, 일본",드라마/로맨스/멜로,7.0,2
황혼에서 새벽까지 3,2001-02-03,미국,코미디/공포,5.0,7
프랑스 중위의 여자,,영국,드라마/로맨스/멜로,8.1,16
천국의 아이들,2017-02-09,이란,드라마/가족,9.4,144
희몽인생,,대만,드라마,5.8,4
비정성시,2008-06-12,"대만, 홍콩",드라마,7.9,32
연연풍진,,대만,드라마/로맨스/멜로,8.4,7
동년왕사,,대만,드라마,7.8,5
샌드위치 맨,1983-09-02,대만,드라마,7.8,5
펑꾸이에서 온 소년,,대만,드라마,6.4,7
클럽 버터플라이,2001-03-03,한국,드라마,4.4,8
말레나,2001-03-10,"이탈리아, 미국",코미디/로맨스/멜로,8.7,153
너스 베티,2001-03-10,"독일, 미국",코미디/범죄/스릴러,7.2,19
잔 다르크의 수난,,프랑스,드라마,6.2,6
레 미제라블,1999-03-13,"영국, 독일, 미국",드라마,8.7,59
도쿄 맑음,2001-02-24,일본,드라마,7.0,10
여우령,2001-03-03,일본,공포,8.2,9
시티 홀,1996-11-23,미국,스릴러,6.7,3
성석전설,2001-03-24,대만,SF,9.0,1
더 야드,2001-02-24,미국,스릴러,6.7,9
퀼스,2001-03-17,"독일, 영국, 미국",로맨스/멜로/공포,8.3,41
캐논 인버스,2001-03-31,이탈리아,로맨스/멜로,8.7,15
웨이 오브 더 건,2001-03-24,미국,스릴러,7.0,7
북 오브 섀도우,2001-03-24,미국,공포,5.4,5
빅,1989-07-15,미국,코미디/판타지,8.8,96
미시시피 버닝,,미국,범죄/미스터리,8.7,31
피고인,1989-00-00,미국,드라마,8.3,22
정글 속의 고릴라,0000-00-00,미국,드라마,7.0,5
터커,1992-12-12,미국,드라마,8.3,3
비지터,1993-07-03,프랑스,판타지/코미디,7.3,10
허공에의 질주,,미국,범죄/드라마,9.2,45
스피시즈,1995-10-07,미국,액션/스릴러/SF/공포,7.1,29
캐리,1978-09-17,미국,공포,7.8,46
택시,1998-08-29,프랑스,코미디/액션,6.9,38
스타워즈 에피소드 4 - 새로운 희망,0000-00-00,미국,SF/어드벤처,8.3,1225
블레어 윗치,1999-10-30,미국,공포/미스터리,6.8,75
태양의 제국,1989-07-08,미국,전쟁/시대극/드라마,8.0,127
브로드캐스트 뉴스,1988-03-26,미국,코미디/로맨스/멜로,7.6,10
더티 댄싱,2007-11-23,미국,로맨스/멜로/드라마,9.1,140
문스트럭,1989-10-07,미국,코미디/로맨스/멜로,7.7,11
올빼미의 성,2001-03-10,일본,액션/시대극,5.6,13
굿모닝 베트남,,미국,코미디/드라마/전쟁,8.2,52
개 같은 내인생,2018-04-19,스웨덴,드라마,8.8,64
플래툰,2017-06-15,미국,액션/전쟁,8.9,169
미션,2019-11-28,영국,드라마,8.9,290
한나와 그 자매들,,미국,코미디/로맨스/멜로,6.8,8
모나리자,1988-10-22,영국,코미디,5.8,4
크로커다일 던디,1987-05-02,오스트레일리아,코미디,6.9,9
칵테일,1990-04-21,미국,로맨스/멜로/드라마,8.2,34
크로커다일 던디 2,1990-04-24,오스트레일리아,코미디,8.0,3
체리 폴스,2001-03-10,미국,공포,8.2,6
하우스 오브 스피리트,1993-12-24,"포르투갈, 독일, 덴마크, 미국",드라마/로맨스/멜로,8.8,15
트래픽,2001-03-10,"홍콩, 미국",범죄,7.6,39
너 어느 별에서 왔니?,2001-03-03,미국,코미디/SF,5.7,10
에이리언 2,1986-12-24,"영국, 미국",공포,9.0,286
블루 벨벳,2016-12-29,미국,미스터리/스릴러,7.8,39
후지어,,미국,드라마,7.4,7
최선의 의도,,스웨덴,드라마,9.0,2
쥬바쿠,2001-03-03,일본,드라마,7.8,4
정복자 펠레,1989-07-15,덴마크,드라마,8.6,16
킹덤 2,1998-07-16,덴마크,공포/미스터리,6.6,5
킹덤,1997-12-23,덴마크,공포/미스터리,8.0,12
유로파,0000-00-00,독일,스릴러,7.3,13
신투차세대,2001-03-10,홍콩,액션,4.0,4
트윈스,1989-09-13,미국,코미디/가족,6.6,22
닥터 T,0000-00-00,독일,코미디,7.3,3
스타 워즈 2020,,"이탈리아, 미국",SF,4.0,1
스탠 바이 미,1986-00-00,미국,어드벤처/드라마,8.7,72
스팔타커스,,미국,액션/전쟁,8.3,34
월 스트리트,1988-04-29,미국,범죄/드라마,8.3,23
코디와 생쥐구조대,0000-00-00,미국,가족/어드벤처,0.0,1
람보,1983-06-17,미국,액션/스릴러,8.5,86
클루리스,1996-07-20,미국,코미디/로맨스/멜로,8.2,45
마이키 이야기,1990-12-22,미국,코미디/로맨스/멜로,8.4,10
리치몬드 연애 소동,0000-00-00,미국,코미디,8.3,9
전망 좋은 방,2020-06-11,영국,드라마/로맨스/멜로,8.2,68
한밤의 암살자,0000-00-00,네덜란드,전쟁,7.0,1
폭주기관차,0000-00-00,"이스라엘, 미국",액션/어드벤처,9.0,29
빽 투 더 퓨쳐,2015-10-21,미국,SF/어드벤처,9.3,332
빽 투 더 퓨쳐 3,1990-07-14,미국,SF/어드벤처,8.1,94
칼라 퍼플,1986-10-18,미국,드라마,8.9,47
데블스 에드버킷,1998-01-17,"독일, 미국",미스터리/스릴러,8.2,99
사랑과 정열,,미국,드라마,5.0,1
백야,1986-09-13,미국,드라마,8.9,37
어게인스트,1984-07-14,미국,액션,6.2,10
베가번스의 전설,2001-03-10,미국,로맨스/멜로/드라마,7.9,10
유관순,,한국,시대극,0.0,3
지붕 위의 바이올린,1971-11-03,미국,뮤지컬/드라마/가족,9.2,24
파리 대왕,1992-12-12,미국,드라마,7.4,29
사관과 신사,1983-01-01,미국,드라마,8.7,99
요람을 흔드는 손,1992-04-04,미국,스릴러/드라마,8.3,38
뱃 인플루언스,1992-11-28,미국,스릴러,6.0,1
베드룸 윈도우,1987-03-14,미국,스릴러,8.5,4
폴링 엔젤스,0000-00-00,미국,미스터리,5.5,2
순류역류,2000-11-18,홍콩,범죄/액션,7.2,19
베이트,2000-03-17,"캐나다, 미국, 오스트레일리아",범죄/액션,9.0,3
그녀에게 잠들다,2001-03-17,한국,로맨스/멜로,4.0,6
자파,0000-00-00,미국,드라마,10.0,1
올모스트 페이머스,0000-00-00,미국,드라마,7.6,27
컨텐더,2003-01-17,"프랑스, 미국",스릴러,7.4,5
쉐도우 오브 더 뱀파이어,,"영국, 미국, 룩셈부르크",드라마/공포,5.8,4
선물,2001-03-24,한국,로맨스/멜로,8.5,50
친구,2001-03-31,한국,액션,8.2,376
미스 에이전트,2001-03-31,미국,액션/코미디,6.8,31
던전 드래곤,2001-04-07,"중국, 미국",판타지,6.2,5
비밀의 화원,2001-04-21,일본,코미디,7.9,11
한니발,2001-04-28,"영국, 미국",범죄/스릴러,7.0,76
화소도,2014-12-31,대만,액션/범죄,6.7,24
사보타지,0000-00-00,캐나다,액션/스릴러,8.0,1
알라모,,미국,전쟁/어드벤처/드라마,8.7,3
솔로몬의 딸,1991-11-00,미국,드라마,5.7,3
카사블랑카,,미국,로맨스/멜로/드라마,8.7,50
휴머니스트,2001-05-12,한국,코미디,3.5,4
제7의 봉인,2012-05-10,스웨덴,드라마,9.0,29
에이리언,1987-10-01,"영국, 미국",SF/공포,8.8,264
한여름밤의 미소,2007-08-08,스웨덴,코미디/로맨스/멜로,6.0,7
리멤버 타이탄,2001-04-14,미국,드라마,8.9,81
파리에서 마지막 키스,,프랑스,드라마/로맨스/멜로,6.3,3
유성어,2001-03-24,홍콩,드라마,9.0,4
행복한 가족계획,2001-04-07,일본,코미디,8.5,4
당산대형,2015-03-19,홍콩,액션,8.2,26
안네의 일기,,미국,드라마/전쟁,8.4,23
쾌찬차,2015-05-07,홍콩,액션/코미디,9.0,57
뉘른베르크,0000-00-00,"캐나다, 미국",드라마,9.0,5
혐오,0000-00-00,영국,공포,7.1,7
이완 맥그리거의 마틴,,미국,공포/스릴러,8.0,5
산딸기,2013-05-16,스웨덴,드라마,8.2,8
처녀의 샘,,스웨덴,범죄/공포,6.5,4
2001 스페이스 오딧세이,2001-03-10,"캐나다, 독일",코미디/SF,6.9,8
외침과 속삭임,,스웨덴,드라마,7.9,8
거울을 통해 어렴풋이,2007-08-08,스웨덴,드라마,9.5,2
가을 소나타,2012-03-22,스웨덴,드라마,7.5,15
아드레날린 드라이브,2001-08-04,일본,코미디,6.3,3
베로니카 : 사랑의 전설,2001-04-14,미국,로맨스/멜로/드라마,7.8,10
먼데이,,일본,코미디/스릴러,5.3,3
비틀쥬스,,미국,코미디/판타지/공포,8.0,63
엑소시스트,2001-05-19,미국,스릴러/공포,8.6,125
소설보다 더 이상한 이야기,2001-05-19,미국,스릴러/코미디,6.0,2
아이다호,1991-02-01,미국,드라마,7.7,62
첩혈쌍웅,2016-08-25,홍콩,액션/범죄,8.9,132
우주전사 버즈,,미국,SF/어드벤처/애니메이션,6.8,6
그래서 난 도끼부인과 결혼했다,1994-01-15,미국,코미디,7.9,11
좋은 친구들,1991-02-14,미국,범죄/드라마,8.6,83
네 멋대로 해라,,프랑스,범죄/로맨스/멜로/스릴러,7.8,24
햇빛 쏟아지던 날들,0000-00-00,"중국, 홍콩",드라마,7.0,9
원스 어폰 어 타임 인 아메리카,2015-04-09,"이탈리아, 미국",액션,8.9,215
카오스,2001-04-28,일본,공포,7.0,1
컨버세이션,,미국,스릴러,7.9,14
캐서린 제타 존스의 더 그레이트,,"독일, 오스트리아, 미국",시대극/드라마/로맨스/멜로,8.8,5
도둑들,0000-00-00,프랑스,범죄,7.2,5
듀스 비갈로,2000-10-28,미국,코미디,7.2,10
성냥공장 소녀,2001-04-28,"핀란드, 스웨덴",드라마,10.0,2
프린스 앤 프린세스,2001-05-05,프랑스,판타지/애니메이션,9.0,25
기프트,2001-04-14,미국,공포/미스터리/스릴러,6.7,30
사국,2001-04-21,일본,공포,8.4,8
교도소 월드컵,2001-05-19,한국,코미디,5.5,17
드라큐라 2000,2001-04-21,미국,공포/로맨스/멜로,7.0,12
패스워드,2001-04-21,미국,범죄/스릴러,8.1,47
파이란,2001-04-28,한국,로맨스/멜로,9.0,494
멕시칸,2001-04-28,"멕시코, 미국",코미디/액션,7.0,9
파인딩 포레스터,2001-05-26,미국,드라마,8.9,57
인디안 썸머,2001-05-05,한국,로맨스/멜로,7.4,24
소름,2001-08-03,한국,미스터리/공포,7.6,47
팬시 댄스,2001-04-21,일본,코미디,7.6,5
쥬라기 공원 3,2001-07-20,미국,액션/어드벤처/SF/스릴러,5.8,63
진주만,2001-06-01,미국,로맨스/멜로/전쟁/드라마,8.2,277
미이라 2,2001-06-16,미국,액션/어드벤처,7.8,109
A.I.,2001-08-10,미국,SF/어드벤처/드라마,9.0,512
물랑 루즈,2014-04-17,"오스트레일리아, 미국",로맨스/멜로/뮤지컬,8.9,217
혹성 탈출,2001-08-03,미국,액션/SF,7.1,71
D-13,2001-06-02,미국,드라마,8.2,22
파이널 환타지,2001-07-27,"일본, 미국",액션/SF/판타지/어드벤처,5.8,20
툼 레이더,2001-06-29,"독일, 영국, 일본, 미국",액션/어드벤처,7.0,43
첫사랑,2001-05-19,일본,로맨스/멜로,8.0,5
스무살: 어느 불량 소녀의 고백,2001-04-21,한국,드라마,4.4,5
히로시마 내 사랑,2001-04-23,"프랑스, 일본",드라마/로맨스/멜로/전쟁,7.3,6
청춘낙서,0000-00-00,미국,코미디,8.8,4
뜨거운 오후,0000-00-00,미국,범죄/스릴러/드라마,7.2,18
벤허,2019-03-28,미국,액션/어드벤처,9.2,294
다크 프린스,2001-04-14,미국,공포,6.7,3
새는 폐곡선을 그린다,2002-03-01,한국,드라마,7.0,1
엑시트 운즈,2001-05-05,"미국, 오스트레일리아",액션/코미디,7.8,8
공포특공대,2000-07-22,한국,코미디,7.5,4
골뱅이@실명제,2001-01-01,"
                                                                            2001.01.01
                                                                                    개봉
                                                                                                                                                ",한국,6.0,2
파라다이스 빌라,2001-12-07,한국,스릴러,6.2,4
슈가 힐,,한국,드라마,5.2,5
이발소 異氏,,한국,드라마,9.0,1
고해,2001-05-26,한국,드라마,7.0,4
팬지와 담쟁이,,한국,다큐멘터리,7.8,4
아빠하고 나하고,,한국,애니메이션,10.0,1
스카우트,0000-00-00,미국,코미디,5.0,3
수취인불명,2001-06-02,한국,드라마,6.6,59
썸머타임,2001-05-26,한국,성인,4.5,32
차이나타운,,미국,범죄/스릴러,7.7,40
퀸테트 살인게임,,미국,SF/미스터리,10.0,1
안개속의 풍경,1996-09-21,"프랑스, 그리스, 이탈리아",드라마,8.6,21
삼총사,1993-12-11,"오스트리아, 영국, 미국",액션/어드벤처/코미디,7.8,12
뷰티풀 죠,2001-07-07,"영국, 미국",로맨스/멜로,9.3,3
원 맨 히어로,,"스페인, 멕시코, 미국",액션/로맨스/멜로/전쟁/서부,4.0,2
마이티 덕,0000-00-00,미국,코미디,8.3,3
무사,2001-09-07,"중국, 한국",액션/드라마,8.0,120
엑설런트 어드벤쳐,1989-07-15,미국,코미디/어드벤처,7.5,26
크리터스,0000-00-00,미국,SF,7.4,5
더 킹,2001-05-05,한국,애니메이션,6.7,3
플레전트빌,1999-04-10,미국,코미디,7.9,23
브루스 브라더스,,미국,액션/코미디/범죄/뮤지컬,8.5,25
48시간의 킬링 게임,1997-12-06,미국,코미디/범죄/스릴러,8.0,1
15분,2001-06-09,"독일, 미국",스릴러,7.6,16
지상 최대의 서커스,,미국,서부/드라마,6.0,1
알래스카의 혼,,미국,코미디/서부,7.2,6
진저 스냅,2001-05-19,"캐나다, 미국",공포/스릴러,6.0,8
유리의 뇌,0000-00-00,일본,드라마,3.7,3
나이아가라,,미국,스릴러/드라마,7.4,9
댄스 위드 미,1999-10-23,미국,드라마,7.3,3
월터와 프랭크,0000-00-00,미국,드라마,0.0,1
닥터,,미국,드라마,7.5,4
신의 아그네스,0000-00-00,미국,미스터리,9.0,8
007 뷰 투 어 킬,1985-12-22,영국,액션,8.6,13
오피셜 스토리,1989-05-27,아르헨티나,시대극/드라마,7.0,6
코러스 라인,1988-04-09,미국,코미디/뮤지컬,7.0,6
로맨싱 스톤,1984-09-08,"멕시코, 미국",코미디/어드벤처,8.2,13
폭군 이반 1,,소련,드라마/시대극,5.2,4
체이서,1995-05-30,미국,코미디,4.7,3
정오의 열정,0000-00-00,미국,스릴러,5.1,7
뒤로 가는 남과 여,1991-03-30,미국,스릴러,7.7,3
범죄와의 전쟁,0000-00-00,미국,액션,8.0,1
이지 라이더,,미국,액션/어드벤처/드라마,7.8,28
레이지 어겐스트 더 머신,,미국,다큐멘터리,10.0,1
몬티 파이튼 - 삶의 의미,,영국,코미디,1.0,2
고스트 버스터즈,1984-12-22,미국,코미디/액션,7.9,69
엑소시즘,2001-05-12,미국,공포,7.5,2
폭군 이반 2,,소련,드라마/시대극,2.5,2
극장판 내일의 죠 2,1981-07-18,일본,애니메이션/드라마,7.9,8
브루스 윌리스의 와일드,,미국,어드벤처/코미디/드라마,7.5,2
일렉션,,미국,코미디/드라마/로맨스/멜로,6.6,7
천사의 알,0000-00-00,일본,판타지/공포/애니메이션,6.1,7
페임,,미국,뮤지컬,7.8,15
스플래시,0000-00-00,미국,코미디/로맨스/멜로,8.2,59
황금 연못,,"미국, 영국",드라마,8.6,26
마음의 고향,,미국,드라마,9.5,8
미스터 아더,0000-00-00,미국,코미디,7.0,4
인도로 가는 길,1986-07-19,"영국, 미국",어드벤처/드라마,7.7,13
우먼 인 레드,1989-06-10,미국,코미디,7.5,8
레즈,0000-00-00,미국,드라마,7.8,5
불의 전차,2020-10-29,영국,드라마,7.6,45
애정의 조건,1984-03-31,미국,코미디/로맨스/멜로/드라마,7.9,24
리타 길들이기,,영국,코미디,8.3,6
보통 사람들,,미국,드라마,8.6,14
실크우드,,미국,스릴러,8.7,7
플래시댄스,1983-09-21,미국,뮤지컬,8.7,53
분노의 주먹,,미국,드라마,8.4,38
광부의 딸,,미국,드라마,8.5,4
테스,2014-11-20,"프랑스, 영국",로맨스/멜로/드라마,9.1,65
화니와 알렉산더,1996-11-16,"독일, 프랑스, 스웨덴",미스터리/판타지/드라마,8.5,15
투씨,1983-09-10,미국,코미디/로맨스/멜로,8.7,21
간디,1989-04-08,"영국, 인도",드라마,7.9,21
소피의 선택,,"영국, 미국",드라마/로맨스/멜로,8.5,34
고스트 버스터즈 2,1990-07-21,미국,코미디/어드벤처,6.8,29
한여름 밤의 꿈,1999-09-18,"이탈리아, 영국, 미국",코미디/판타지,5.5,4
레스터레이션,,미국,드라마/시대극,8.8,5
스포트라이트,,미국,코미디,2.0,1
젊은 연인들,0000-00-00,미국,코미디,10.0,1
웨딩 플래너,2001-05-19,"독일, 미국",코미디/로맨스/멜로,6.9,7
3000마일,2001-05-19,미국,코미디,7.3,13
에너미 앳 더 게이트,2001-05-19,"독일, 영국, 아일랜드, 미국",액션/전쟁,8.8,202
웨어 더 머니 이즈,2001-05-19,미국,코미디/범죄/드라마,7.3,3
썸원 라이크 유,2001-05-26,미국,코미디/로맨스/멜로,8.0,20
라벤다,2001-06-02,홍콩,로맨스/멜로,9.5,2
쎄크리파이스,2001-06-09,미국,액션,4.0,3
도라! 도라! 도라!,,"미국, 일본",액션/전쟁/어드벤처,8.8,32
맨헌터,0000-00-00,미국,범죄/공포,7.0,9
어비스,,미국,액션/스릴러/SF,8.7,102
야망의 함정,1993-09-25,미국,스릴러,8.1,30
아나토미,2001-06-09,독일,공포,6.6,9
열정의 무대,2001-06-09,미국,드라마,8.7,18
스팟,2001-06-09,미국,코미디,5.3,3
아비정전,2017-03-30,홍콩,드라마/로맨스/멜로,8.2,139
우먼 오브 나이트,2001-06-09,미국,스릴러,1.0,2
간장선생,2001-06-16,일본,코미디/드라마,7.2,26
나는 네가 지난 13일 금요일 밤에 한 일을 알고 있다,2001-06-16,미국,코미디,7.5,4
소살리토,2001-06-16,홍콩,로맨스/멜로,6.8,15
토틀 웨스턴,2001-06-16,프랑스,스릴러,7.5,4
오! 그레이스,2001-06-23,영국,코미디,8.0,16
그레이 올,2001-06-23,"캐나다, 미국",드라마,5.0,1
슈렉,2001-07-06,미국,코미디/로맨스/멜로/판타지/어드벤처/애니메이션,8.0,113
신라의 달밤,2001-06-23,한국,코미디,7.1,95
테일러 오브 파나마,2001-06-23,"미국, 아일랜드",스릴러/드라마,6.6,7
스워드피쉬,2001-07-07,"오스트레일리아, 미국",범죄/스릴러,7.5,57
타인의 취향,2009-01-22,프랑스,코미디/드라마,8.5,28
에볼루션,2001-07-14,미국,코미디/SF,7.6,21
세이브 더 라스트 댄스,2001-07-14,미국,로맨스/멜로/드라마,7.9,17
엽기적인 그녀,2001-07-21,한국,코미디,8.6,421
사구,0000-00-00,미국,SF/어드벤처,7.5,30
아틀란티스,2001-07-14,미국,SF/애니메이션,7.9,22
파이터 블루,2001-06-30,홍콩,액션,7.0,3
브랜단 & 트루디,2001-07-21,영국,코미디,7.0,11
노랑머리 2,2001-07-21,한국,드라마,4.0,10
스파이 키드,2001-07-14,미국,어드벤처/코미디/SF,6.7,19
이웃집 토토로,2019-06-06,일본,애니메이션/드라마,8.9,322
늑대의 후예들,2001-08-10,프랑스,액션,7.2,29
캣츠 & 독스,2001-07-28,미국,코미디,8.0,22
차스키 차스키,2001-11-10,"덴마크, 아이슬란드, 노르웨이, 스웨덴",드라마,8.3,6
더 홀,2001-08-17,영국,공포/미스터리,7.3,37
스파이더 게임,2001-08-18,미국,액션,7.3,13
하트브레이커스,2001-08-17,미국,코미디/로맨스/멜로/범죄,8.2,47
메멘토,2020-08-19,미국,스릴러,8.3,388
닥터 두리틀 2,2001-09-14,미국,코미디/가족/판타지,7.2,6
콘벤트,2001-07-21,미국,코미디/판타지,5.0,1
히든 어젠더,2001-07-21,캐나다,액션,6.0,1
톰캣,2001-08-18,미국,코미디,6.8,5
레퀴엠,2002-07-12,미국,드라마,8.4,86
기사 윌리엄,2001-08-25,미국,액션/어드벤처,7.8,47
드리븐,2001-08-25,"캐나다, 미국, 오스트레일리아",액션,7.6,20
세븐 데이 투 리브,2001-08-04,"독일, 체코, 미국",공포,5.0,1
씨커,2001-08-04,미국,액션/스릴러,4.3,3
세이 예스,2001-08-17,한국,스릴러,5.8,38
베사메무쵸,2001-08-31,한국,로맨스/멜로/드라마,5.4,8
아이 러브 유,2001-08-25,한국,로맨스/멜로,5.8,8
포켓몬스터 2 : 루기아의 탄생,2001-08-11,일본,애니메이션/가족/어드벤처,7.6,8
브리짓 존스의 일기,2001-09-01,"영국, 아일랜드, 프랑스",코미디/로맨스/멜로,8.4,155
라스트 런,2001-09-08,미국,액션,6.0,1
지옥의 묵시록,2018-01-24,미국,드라마/전쟁,8.4,115
발렌타인,2001-08-31,미국,스릴러/공포,6.3,7
벨파고,2001-09-15,프랑스,공포/판타지,5.4,5
고추불패,2001-08-25,한국,성인,4.0,1
비바 라스 베가스,2001-08-25,미국,코미디/뮤지컬/로맨스/멜로,5.0,2
포스엔젤,2001-09-15,미국,액션,7.0,1
협녀,0000-00-00,대만,액션/무협,8.1,14
건담-G 세이비어,,"일본, 미국",액션/SF,0.0,1
샤이닝,,"영국, 미국",공포/스릴러,8.0,198
천상의 피조물,,"독일, 영국, 뉴질랜드",공포,7.8,26
소친친,2001-09-15,홍콩,코미디/로맨스/멜로,8.2,5
쁘띠 마르땅,2001-09-15,프랑스,드라마,10.0,1
아메리칸 스윗하트,2001-09-28,미국,코미디,5.0,9
캠퍼스 레전드 2,2001-09-15,미국,공포,7.0,2
저스트 비지팅,2001-09-15,"프랑스, 미국",코미디/판타지,8.1,11
봄날은 간다,2001-09-28,한국,로맨스/멜로/드라마,8.8,356
러시아워 2,2001-09-21,미국,코미디/액션,7.7,46
방콕 데인저러스,2001-09-22,태국,액션,8.0,5
조폭 마누라,2001-09-28,한국,코미디/액션,5.8,78
분노의 질주,2001-09-21,"독일, 미국",범죄/액션,8.6,2199
피도 눈물도 없이,2002-02-28,한국,범죄/액션,6.7,4634
마리포사,2001-10-06,스페인,드라마,9.5,23
스위트 노벰버,2001-09-28,미국,코미디/로맨스/멜로/드라마,6.7,33
프린세스 다이어리,2001-09-28,미국,코미디/가족,7.8,73
킬러들의 수다,2001-10-12,한국,코미디/드라마,8.4,124
고양이를 부탁해,2001-10-13,한국,드라마,8.0,75
청혼,2001-10-06,미국,로맨스/멜로/코미디,6.1,7
아멜리에,2012-02-23,"프랑스, 독일",코미디/로맨스/멜로,8.7,137
다운 투 어쓰,2001-10-06,"캐나다, 미국",코미디,7.0,1
오리지날 씬,2001-10-12,"프랑스, 미국",로맨스/멜로/스릴러,7.1,58
나비,2001-10-13,한국,SF,8.0,16
금발이 너무해,2001-10-13,미국,코미디/로맨스/멜로,8.4,76
와이키키 브라더스,2001-10-27,한국,드라마,9.2,223
아들의 방,2001-11-02,이탈리아,드라마,7.8,15
왕의 춤,2001-11-10,"벨기에, 독일, 프랑스",드라마,8.4,11
라이방,2001-11-02,한국,드라마,8.6,10
폴락,2001-11-10,미국,드라마,6.8,10
흑수선,2001-11-16,한국,액션/미스터리,6.7,26
2009 로스트 메모리즈,2002-02-01,한국,SF,6.9,96
반지의 제왕 : 반지 원정대,2017-01-11,"뉴질랜드, 미국",판타지/어드벤처,9.1,400
코렐리의 만돌린,2001-10-20,"영국, 미국, 프랑스",로맨스/멜로/전쟁,6.6,5
화산고,2001-12-08,한국,코미디/액션/판타지/무협,6.3,79
귀신이 온다,2001-10-26,중국,전쟁/드라마,8.6,23
북경 자전거,2001-11-17,"중국, 대만, 프랑스",드라마,7.2,13
애니멀,2001-11-09,미국,코미디,7.2,14
바운스,2001-10-26,미국,드라마/로맨스/멜로,9.0,6
잎새,2001-10-20,한국,로맨스/멜로,6.0,1
달마야 놀자,2001-11-09,한국,코미디,7.6,67
해리포터와 마법사의 돌,2018-10-24,"영국, 미국",판타지/어드벤처,8.8,437
시리즈 7,2001-10-27,미국,코미디,6.0,1
나의 즐거운 일기,2001-11-05,이탈리아,코미디,10.0,1
스코어,2001-11-09,미국,액션,7.4,19
트레이닝 데이,2001-11-02,"미국, 오스트레일리아",범죄/스릴러,8.0,55
헤라 퍼플,2001-11-03,한국,범죄/스릴러,5.7,10
런딤,2001-11-09,한국,애니메이션,7.0,4
시크릿 러브,2001-11-10,프랑스,로맨스/멜로,7.0,1
와니와 준하,2001-11-23,한국,로맨스/멜로,8.6,59
고,2001-11-23,"일본, 한국",드라마/로맨스/멜로,8.4,74
머스킷티어,2001-11-16,"홍콩, 미국",액션,7.0,3
아모레스 페로스,2001-11-17,멕시코,스릴러/드라마,7.8,31
엔젤 아이즈,2001-11-16,미국,스릴러,7.8,15
꽃섬,2001-11-00,한국,드라마,9.0,7
넥스트 베스트 씽,2001-11-24,미국,코미디,5.5,4
자살관광버스,2001-11-17,일본,코미디/드라마,7.5,11
두사부일체,2001-12-14,한국,코미디/액션,6.5,157
키스 오브 드래곤,2014-09-04,"프랑스, 미국",액션/범죄,7.8,38
무서운 영화 2,2001-11-30,미국,코미디/공포,6.4,25
크레이지 뷰티풀,2001-12-08,미국,로맨스/멜로/드라마,8.2,21
멀홀랜드 드라이브,2017-10-05,"프랑스, 미국",미스터리/스릴러,7.3,164
아메리칸 파이 2,2001-11-30,미국,코미디,7.1,15
갓 앤 몬스터,2001-12-01,"영국, 미국",드라마,8.0,3
센터 오브 월드,2001-12-08,미국,드라마,6.0,1
나쁜 남자,2002-01-11,한국,드라마,3.1,521
호타루,2002-01-18,일본,드라마,7.0,19
비독,2001-12-28,프랑스,범죄/미스터리,6.7,10
